drug_Smiles,drug_ATC,drug_Name
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,A11HA01,Nadide
O=O,V03AN01,Oxygen
C(=O)=O,V03AN02,Carbon dioxide
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O.O,A11HA06,Pyridoxal phosphate hydrate
OO,A01AB02,Hydrogen peroxide
OO, D08AX01,Hydrogen peroxide
OO, D11AX25,Hydrogen peroxide
OO, S02AA06,Hydrogen peroxide
C(C1C(C(C(C(O1)O)O)O)O)O,B05CX01,Glucose
C(C1C(C(C(C(O1)O)O)O)O)O, V04CA02,Glucose
C(C1C(C(C(C(O1)O)O)O)O)O, V06DC01,Glucose
CC(=O)O,G01AD02,"Acetic acid, glacial"
CC(=O)O, S02AA10,"Acetic acid, glacial"
C(C(C1C(=C(C(=O)O1)O)O)O)O,A11GA01,Ascorbic acid
C(C(C1C(=C(C(=O)O1)O)O)O)O, G01AD03,Ascorbic acid
C(C(C1C(=C(C(=O)O1)O)O)O)O, S01XA15,Ascorbic acid
S,D10AB02,"Sulfur, precipitated"
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,A09AB04,"Citric acid, anhydrous"
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co],B03BA04,Cobamamide
CC(C)OP(=O)(OC(C)C)F,S01EB07,Isoflurophate
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,V03AB03,Edetic acid
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,N06BX06,Citicoline
[N]=O,R07AX01,Nitric oxide
C1=CC(=C(C=C1C(CN)O)O)O,C01CA03,Noradrenaline
N#N,V03AN04,Nitrogen
C1CSSC1CCCCC(=O)O,A16AX01,Thioctic acid
C(C(C(C(C(CO)O)O)O)O)O,A06AD18,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, A06AG07,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, B05CX02,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, V04CC01,Sorbitol solution
[N-]=[N+]=O,N01AX13,Nitrous oxide
II,D08AG03,Iodine
CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,C01AC01,G-Strophanthin
CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,M01AB02,Sulindac
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C.O,A11CC06,Calcifediol
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C.O, H05BX05,Calcifediol
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,M01AC01,Piroxicam
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3, M02AA07,Piroxicam
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3, S01BC06,Piroxicam
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,N02BA11,Diflunisal
CCN(CC)C(=S)SSC(=S)N(CC)CC,N07BB01,Disulfiram
CCN(CC)C(=S)SSC(=S)N(CC)CC, P03AA04,Disulfiram
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,P02CA03,Albendazole
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,N05AD01,Haloperidol
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,A04AD01,Scopolamine
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4, N05CM05,Scopolamine
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4, S01FA02,Scopolamine
