drug_Smiles,drug_ATC,drug_Name
C(C(=O)O)N,B05CX03,Glycine
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,V03AB32,Glutathione
C(CC(=O)N)C(C(=O)O)N,A16AA03,Glutamine
CSCCC(C(=O)O)N,V03AB26,Methionine
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,N06AX02,Tryptophan
C(=O)(N)N,B05BC02,Urea
C(=O)(N)N, D02AE01,Urea
C(C(CO)O)O,A06AG04,Glycerin
C(C(CO)O)O, A06AX01,Glycerin
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,A11HA05,Biotin
C1=CC=C(C=C1)O,C05BB05,Phenol
C1=CC=C(C=C1)O, D08AE03,Phenol
C1=CC=C(C=C1)O, N01BX03,Phenol
C1=CC=C(C=C1)O, R02AA19,Phenol
C1=CC(=CN=C1)C(=O)N,A11HA01,Niacinamide
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,C01EB10,Adenosine
C1CSSC1CCCCC(=O)N,A16AX01,Thioctic acid amide
C1=CC(=CN=C1)C(=O)O,C04AC01,Niacin
C1=CC(=CN=C1)C(=O)O, C10AD02,Niacin
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,A11HA04,Riboflavin
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O, S01XA26,Riboflavin
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,D06BB05,Inosine
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O, G01AX02,Inosine
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O, S01XA10,Inosine
C(CC(=O)O)CN,N03AG03,gamma-Aminobutyric acid
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,N04BA01,Levodopa
C(C(C(C(C(CO)O)O)O)O)O,A06AD16,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, B05BC01,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, B05CX04,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, R05CB16,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, V04CX04,Mannitol
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,J01GB01,Tobramycin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N, S01AA12,Tobramycin
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,G03DA04,Progesterone
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,G03CA07,Estrone
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O, G03CC04,Estrone
CCO,D08AX08,Alcohol
CCO, V03AB16,Alcohol
CCO, V03AZ01,Alcohol
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,B03BB01,Folic acid
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N, V04CX02,Folic acid
C1=CC(=CC=C1O)O,D11AX11,Hydroquinone
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,G03BA03,Testosterone
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,G02AD02,Dinoprostone
CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,G02AD01,Dinoprost
