CanSmiles,ATC_L1,Drug_Name
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,A11HA01,Nadide
O=O,V03AN01,Oxygen
C(=O)=O,V03AN02,Carbon dioxide
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O.O,A11HA06,Pyridoxal phosphate hydrate
OO,A01AB02,Hydrogen peroxide
OO, D08AX01,Hydrogen peroxide
OO, D11AX25,Hydrogen peroxide
OO, S02AA06,Hydrogen peroxide
C(C1C(C(C(C(O1)O)O)O)O)O,B05CX01,Glucose
C(C1C(C(C(C(O1)O)O)O)O)O, V04CA02,Glucose
C(C1C(C(C(C(O1)O)O)O)O)O, V06DC01,Glucose
CC(=O)O,G01AD02,"Acetic acid, glacial"
CC(=O)O, S02AA10,"Acetic acid, glacial"
C(C(=O)O)N,B05CX03,Glycine
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,V03AB32,Glutathione
C(CC(=O)N)C(C(=O)O)N,A16AA03,Glutamine
C(C(C1C(=C(C(=O)O1)O)O)O)O,A11GA01,Ascorbic acid
C(C(C1C(=C(C(=O)O1)O)O)O)O, G01AD03,Ascorbic acid
C(C(C1C(=C(C(=O)O1)O)O)O)O, S01XA15,Ascorbic acid
CSCCC(C(=O)O)N,V03AB26,Methionine
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,N06AX02,Tryptophan
C(=O)(N)N,B05BC02,Urea
C(=O)(N)N, D02AE01,Urea
S,D10AB02,"Sulfur, precipitated"
C(C(CO)O)O,A06AG04,Glycerin
C(C(CO)O)O, A06AX01,Glycerin
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,A11HA05,Biotin
C1=CC=C(C=C1)O,C05BB05,Phenol
C1=CC=C(C=C1)O, D08AE03,Phenol
C1=CC=C(C=C1)O, N01BX03,Phenol
C1=CC=C(C=C1)O, R02AA19,Phenol
C1=CC(=CN=C1)C(=O)N,A11HA01,Niacinamide
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,A09AB04,"Citric acid, anhydrous"
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co],B03BA04,Cobamamide
CC(C)OP(=O)(OC(C)C)F,S01EB07,Isoflurophate
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,C01EB10,Adenosine
C1CSSC1CCCCC(=O)N,A16AX01,Thioctic acid amide
C1=CC(=CN=C1)C(=O)O,C04AC01,Niacin
C1=CC(=CN=C1)C(=O)O, C10AD02,Niacin
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,A11HA04,Riboflavin
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O, S01XA26,Riboflavin
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,V03AB03,Edetic acid
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,D06BB05,Inosine
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O, G01AX02,Inosine
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O, S01XA10,Inosine
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,N06BX06,Citicoline
C(CC(=O)O)CN,N03AG03,gamma-Aminobutyric acid
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,N04BA01,Levodopa
C(C(C(C(C(CO)O)O)O)O)O,A06AD16,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, B05BC01,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, B05CX04,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, R05CB16,Mannitol
C(C(C(C(C(CO)O)O)O)O)O, V04CX04,Mannitol
